,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07
44,51005,Alleghany,Virginia,US,37.78636074,-80.00222498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,42003,Allegheny,Pennsylvania,US,40.46809875,-79.98167747,88,58,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,18003,Allen,Indiana,US,41.09194313,-85.06800636,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,20001,Allen,Kansas,US,37.88582951,-95.30030847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,21003,Allen,Kentucky,US,36.75197631,-86.19457544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,22003,Allen,Louisiana,US,30.65385745,-92.82442028,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,39003,Allen,Ohio,US,40.77285242,-84.10802343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,45005,Allendale,South Carolina,US,32.98837386,-81.35321066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,26007,Alpena,Michigan,US,45.03477666,-83.62212411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,6003,Alpine,California,US,38.59678594,-119.8223594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6005,Amador,California,US,38.44583082,-120.65696,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,51007,Amelia,Virginia,US,37.34081025,-77.98584649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,51009,Amherst,Virginia,US,37.60308293,-79.14548696,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,28005,Amite,Mississippi,US,31.17467303,-90.80501621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2020,Anchorage,Alaska,US,61.14998174,-149.14269860000005,17,17,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,20003,Anderson,Kansas,US,38.21413251,-95.29272815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,21005,Anderson,Kentucky,US,38.00671029,-84.99171713,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,45007,Anderson,South Carolina,US,34.51828081,-82.63959517,19,16,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,47001,Anderson,Tennessee,US,36.12684348,-84.19965764,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,48001,Anderson,Texas,US,31.81534745,-95.65354823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,29003,Andrew,Missouri,US,39.98492163,-94.80163024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,48003,Andrews,Texas,US,32.30468633,-102.6376548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,23001,Androscoggin,Maine,US,44.1664747,-70.20380627,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,48005,Angelina,Texas,US,31.25457347,-94.60901487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,24003,Anne Arundel,Maryland,US,39.00670238,-76.60329337,31,24,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,27003,Anoka,Minnesota,US,45.27476015,-93.24604565,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,37007,Anson,North Carolina,US,34.97403241,-80.09953279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
